npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 11:55:48 AM ::1 GET /api/sheets
 HTTP  9/24/2026 11:55:48 AM ::1 Returned 404 in 8 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /sw.js
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /
 HTTP  9/24/2026 11:55:49 AM ::1 GET /index.html
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /style.css
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /index
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 301 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /app.js
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:55:49 AM ::1 GET /
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:55:49 AM ::1 GET /manifest.json
 HTTP  9/24/2026 11:55:49 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:57:44 AM ::1 GET /
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 11:57:44 AM ::1 GET /style.css
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 4 ms
 HTTP  9/24/2026 11:57:44 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:57:44 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:57:44 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:57:44 AM ::1 GET /app.js
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:57:44 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /components/companion.js
 HTTP  9/24/2026 11:57:45 AM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 11:57:45 AM ::1 GET /services/ai.js
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 200 in 5 ms
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 200 in 4 ms
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 200 in 8 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /sw.js
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 200 in 0 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /
 HTTP  9/24/2026 11:57:45 AM ::1 GET /index.html
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /style.css
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /index
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /app.js
 HTTP  9/24/2026 11:57:45 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:57:45 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 11:57:45 AM ::1 GET /manifest.json
 HTTP  9/24/2026 11:57:45 AM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 11:58:53 AM ::1 GET /
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:58:53 AM ::1 GET /style.css
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:58:53 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:58:53 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:58:53 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:58:53 AM ::1 GET /app.js
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:58:53 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /components/companion.js
 HTTP  9/24/2026 11:58:54 AM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 11:58:54 AM ::1 GET /services/ai.js
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /sw.js
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 200 in 0 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /index.html
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 301 in 1 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /style.css
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /index
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 301 in 1 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /app.js
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:58:54 AM ::1 GET /
 HTTP  9/24/2026 11:58:54 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:58:54 AM ::1 GET /manifest.json
 HTTP  9/24/2026 11:58:54 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 GET /
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 GET /style.css
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:00:18 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:00:18 PM ::1 GET /app.js
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:18 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:00:19 PM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 12:00:19 PM ::1 GET /services/ai.js
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 200 in 18 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 200 in 18 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /api/sheets
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 404 in 10 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /sw.js
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /index.html
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /
 HTTP  9/24/2026 12:00:19 PM ::1 GET /style.css
 HTTP  9/24/2026 12:00:19 PM ::1 GET /index
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /
 HTTP  9/24/2026 12:00:19 PM ::1 GET /app.js
 HTTP  9/24/2026 12:00:19 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:00:19 PM ::1 GET /manifest.json
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:19 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:00:43 PM ::1 GET /
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:00:43 PM ::1 GET /style.css
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:00:43 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:00:43 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:00:43 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:00:43 PM ::1 GET /app.js
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:00:43 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:00:44 PM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 12:00:44 PM ::1 GET /services/ai.js
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 200 in 9 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /api/sheets
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 404 in 4 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /sw.js
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 200 in 0 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /index.html
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 301 in 1 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /
 HTTP  9/24/2026 12:00:44 PM ::1 GET /style.css
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /index
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /app.js
 HTTP  9/24/2026 12:00:44 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:00:44 PM ::1 GET /
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:00:44 PM ::1 GET /manifest.json
 HTTP  9/24/2026 12:00:44 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 0 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 4 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:05 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:05 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:05 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:05 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 4 ms
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 7 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:05 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:05 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:06 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:01:06 PM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 12:01:06 PM ::1 GET /services/ai.js
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 10 ms
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 9 ms
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 10 ms
 HTTP  9/24/2026 12:01:06 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:01:06 PM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:06 PM ::1 GET /services/ai.js
 HTTP  9/24/2026 12:01:06 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:07 PM ::1 GET /api/sheets
 HTTP  9/24/2026 12:01:07 PM ::1 Returned 404 in 19 ms
 HTTP  9/24/2026 12:01:07 PM ::1 GET /api/sheets
 HTTP  9/24/2026 12:01:07 PM ::1 Returned 404 in 12 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /sw.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /
 HTTP  9/24/2026 12:01:08 PM ::1 GET /index.html
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /index
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 301 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 5 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:08 PM ::1 GET /
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 7 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /manifest.json
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /sw.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /index.html
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 301 in 2 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:08 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /index
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:08 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:08 PM ::1 GET /manifest.json
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:08 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:01:12 PM ::1 GET /
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:12 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:12 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:12 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:12 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:12 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:12 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:13 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:01:13 PM ::1 GET /components/dashboard.js
 HTTP  9/24/2026 12:01:13 PM ::1 GET /services/ai.js
 HTTP  9/24/2026 12:01:13 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:13 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:13 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:01:13 PM ::1 GET /api/sheets
 HTTP  9/24/2026 12:01:13 PM ::1 Returned 404 in 1 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /sw.js
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /index.html
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /
 HTTP  9/24/2026 12:01:14 PM ::1 GET /style.css
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /index
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /app.js
 HTTP  9/24/2026 12:01:14 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:01:14 PM ::1 GET /
 HTTP  9/24/2026 12:01:14 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 304 in 3 ms
 HTTP  9/24/2026 12:01:14 PM ::1 GET /manifest.json
 HTTP  9/24/2026 12:01:14 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /style.css
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:02:04 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:02:04 PM ::1 GET /app.js
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /style.css
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 5 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /initial-data.js
 HTTP  9/24/2026 12:02:04 PM ::1 GET /sheets-service.js
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:04 PM ::1 GET /bgg-service.js
 HTTP  9/24/2026 12:02:04 PM ::1 GET /app.js
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 12:02:04 PM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 12:02:05 PM ::1 GET /components/companion.js
 HTTP  9/24/2026 12:02:05 PM ::1 GET /components/dashboard.js
